"Country or Area","Year","Value","Value Footnotes"
"Vietnam","2005","1.897",""
"Virgin Islands (U.S.)","2005","2.23",""
"West Bank and Gaza","2005","4.697",""
"World","2005","2.57694040581544",""
"Yemen, Rep.","2005","5.515",""
"Zambia","2005","6.001",""
"Zimbabwe","2005","4.006",""

"footnoteSeqID","Footnote"
"2","Interpolated data assuming linear trend."
"3","Interpolated data."
